session_idx,session_type,condition,overflowed,overflow_turn,turns_completed,final_tokens,n_turns
0,file-heavy,A,True,12,12,1218261,80
0,file-heavy,B,True,73,73,216535,80
0,file-heavy,C,False,-1,80,167195,80
1,file-heavy,A,True,11,11,1226295,80
1,file-heavy,B,True,73,73,216503,80
1,file-heavy,C,False,-1,80,167564,80
2,file-heavy,A,True,12,12,1215004,80
2,file-heavy,B,True,73,73,216600,80
2,file-heavy,C,False,-1,80,167616,80
3,file-heavy,A,True,11,11,1221721,80
3,file-heavy,B,True,73,73,216632,80
3,file-heavy,C,False,-1,80,167258,80
4,file-heavy,A,True,11,11,1223352,80
4,file-heavy,B,True,73,73,216515,80
4,file-heavy,C,False,-1,80,167543,80
5,file-heavy,A,True,11,11,1222874,80
5,file-heavy,B,True,73,73,216284,80
5,file-heavy,C,False,-1,80,167456,80
6,file-heavy,A,True,11,11,1215520,80
6,file-heavy,B,True,73,73,216526,80
6,file-heavy,C,False,-1,80,167625,80
7,file-heavy,A,True,11,11,1227069,80
7,file-heavy,B,True,73,73,216451,80
7,file-heavy,C,False,-1,80,167520,80
8,file-heavy,A,True,11,11,1216450,80
8,file-heavy,B,True,73,73,216620,80
8,file-heavy,C,False,-1,80,167238,80
9,file-heavy,A,True,11,11,1224258,80
9,file-heavy,B,True,73,73,216634,80
9,file-heavy,C,False,-1,80,167194,80
10,file-heavy,A,True,12,12,1207693,80
10,file-heavy,B,True,73,73,216557,80
10,file-heavy,C,False,-1,80,167215,80
11,file-heavy,A,True,11,11,1235359,80
11,file-heavy,B,True,73,73,216318,80
11,file-heavy,C,False,-1,80,167396,80
12,file-heavy,A,True,11,11,1215683,80
12,file-heavy,B,True,73,73,216732,80
12,file-heavy,C,False,-1,80,167217,80
13,file-heavy,A,True,12,12,1217967,80
13,file-heavy,B,True,73,73,216676,80
13,file-heavy,C,False,-1,80,167319,80
14,file-heavy,A,True,12,12,1239849,80
14,file-heavy,B,True,73,73,216477,80
14,file-heavy,C,False,-1,80,167552,80
15,search-heavy,A,False,-1,50,141910,50
15,search-heavy,B,False,-1,50,51475,50
15,search-heavy,C,False,-1,50,51475,50
16,search-heavy,A,False,-1,50,155342,50
16,search-heavy,B,False,-1,50,51478,50
16,search-heavy,C,False,-1,50,51478,50
17,search-heavy,A,False,-1,50,137050,50
17,search-heavy,B,False,-1,50,51540,50
17,search-heavy,C,False,-1,50,51540,50
18,search-heavy,A,False,-1,50,141069,50
18,search-heavy,B,False,-1,50,51568,50
18,search-heavy,C,False,-1,50,51568,50
19,search-heavy,A,False,-1,50,140881,50
19,search-heavy,B,False,-1,50,51459,50
19,search-heavy,C,False,-1,50,51459,50
20,search-heavy,A,False,-1,50,137988,50
20,search-heavy,B,False,-1,50,51496,50
20,search-heavy,C,False,-1,50,51496,50
21,search-heavy,A,False,-1,50,139175,50
21,search-heavy,B,False,-1,50,51551,50
21,search-heavy,C,False,-1,50,51551,50
22,search-heavy,A,False,-1,50,138303,50
22,search-heavy,B,False,-1,50,51525,50
22,search-heavy,C,False,-1,50,51525,50
23,search-heavy,A,False,-1,50,144506,50
